"State","Effect_Duration","Effect_Category","Effect","Age","Deaths"
"AL","Acute","Motor Vehicle Traffic Crashes","Motor vehicle traffic crashes","20-34",102
"AL","Acute","Motor Vehicle Traffic Crashes","Motor vehicle traffic crashes","35-49",73
"AL","Acute","Motor Vehicle Traffic Crashes","Motor vehicle traffic crashes","50-64",69
"AL","Acute","Motor Vehicle Traffic Crashes","Motor vehicle traffic crashes","65+",26
"AL","Acute","Suicide","Suicide","0-19",0
"AL","Acute","Suicide","Suicide","20-34",0
"AL","Acute","Suicide","Suicide","35-49",41
"AL","Acute","Suicide","Suicide","50-64",39
"AL","Acute","Suicide","Suicide","65+",35
"AL","Acute","Other Acute Causes","Air-space transport","0-19",0
"AL","Acute","Other Acute Causes","Air-space transport","20-34",0
"AL","Acute","Other Acute Causes","Air-space transport","35-49",0
"AL","Acute","Other Acute Causes","Air-space transport","50-64",0
"AL","Acute","Other Acute Causes","Air-space transport","65+",0
"AL","Acute","Other Acute Causes","Aspiration","0-19",0
"AL","Acute","Other Acute Causes","Aspiration","20-34",0
"AL","Acute","Other Acute Causes","Aspiration","35-49",0
"AL","Acute","Other Acute Causes","Aspiration","50-64",0
"AL","Acute","Other Acute Causes","Aspiration","65+",0
"AL","Acute","Other Acute Causes","Child maltreatment","0-19",0
"AL","Acute","Other Acute Causes","Child maltreatment","20-34",0
"AL","Acute","Other Acute Causes","Child maltreatment","35-49",0
"AL","Acute","Other Acute Causes","Child maltreatment","50-64",0
"AL","Acute","Other Acute Causes","Child maltreatment","65+",0
"AL","Acute","Other Acute Causes","Drowning","0-19",0
"AL","Acute","Other Acute Causes","Drowning","20-34",0
"AL","Acute","Other Acute Causes","Drowning","35-49",0
"AL","Acute","Other Acute Causes","Drowning","50-64",0
"AL","Acute","Other Acute Causes","Drowning","65+",0
"AL","Acute","Other Acute Causes","Fall injuries","0-19",0
"AL","Acute","Other Acute Causes","Fall injuries","20-34",0
"AL","Acute","Other Acute Causes","Fall injuries","35-49",0
"AL","Acute","Other Acute Causes","Fall injuries","50-64",17
"AL","Acute","Other Acute Causes","Fall injuries","65+",0
"AL","Acute","Other Acute Causes","Fire injuries","0-19",0
"AL","Acute","Other Acute Causes","Fire injuries","20-34",0
"AL","Acute","Other Acute Causes","Fire injuries","35-49",0
"AL","Acute","Other Acute Causes","Fire injuries","50-64",0
"AL","Acute","Other Acute Causes","Fire injuries","65+",19
